,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct First Attempt,Correct Step Duration (sec),Error Step Duration (sec),Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
0,10039,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP01,1,2/300*X = 10,,,,,,0,,,,,,,
1,10482,52vEY7f17k,"Unit CTA1_06, Section CTA1_06-3",FOR05,1,xScale,,,,,,1,,,,,,Changing axis intervals,28
2,11024,52vEY7f17k,"Unit ES_03, Section ES_03-6",EG52,1,2.9 = -2x+3.7+x,,,,,,0,,,,,,"[SkillRule: Consolidate vars, no coeff; CLT]",27
3,11476,52vEY7f17k,"Unit CTA1_08, Section CTA1_08-3",REAL10,1,yScale,,,,,,1,,,,,,Changing axis intervals,65
4,11948,52vEY7f17k,"Unit ES_04, Section ES_04-12",EG58,7,xR2,,,,,,0,,,,,,,
5,12532,52vEY7f17k,"Unit CTA1_10, Section CTA1_10-5",DIST05_SP,1,R1C2,,,,,,0,,,,,,,
6,12955,52vEY7f17k,"Unit ES_07, Section ES_07-4",LIT69A,4,z*u-n*j+z*g = 16n,,,,,,1,,,,,,"[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}]",42
7,19200,6W08a98ZQV,"Unit ES_02, Section ES_02-8",EG41,2,FinalAnswer,,,,,,1,,,,,,perform-mult-sp,9
8,19384,6W08a98ZQV,"Unit CTA1_13, Section CTA1_13-1",PROP10,1,R1C2,,,,,,1,,,,,,,
9,19835,6W08a98ZQV,"Unit CTA1_06, Section CTA1_06-3",FOR05,2,XLabel,,,,,,1,,,,,,Labelling the axes,33
10,20340,6W08a98ZQV,"Unit ES_03, Section ES_03-6",EG52A,1,constant termsR2,,,,,,0,,,,,,,
11,20727,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-3",REAL37,1,Formula 1 Coeff 0,,,,,,1,,,,,,Setting the y-intercept,19
12,21074,6W08a98ZQV,"Unit ES_04, Section ES_04-14",LIT33A,1,17/c = c*x/c,,,,,,1,,,,,,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],63
13,21263,6W08a98ZQV,"Unit CTA1_10, Section CTA1_10-2",DIST03_SP,3,R4C1,,,,,,1,,,,,,Entering a given,177
14,21616,8o0mJnIpFH,"Unit CTA1_06, Section CTA1_06-3",5-Jan,2,R5C1,,,,,,1,,,,,,"Using simple numbers~~Using large numbers~~Find X, positive slope",24~~15~~18
15,22178,8o0mJnIpFH,"Unit ES_03, Section ES_03-6",EG51A,2,constant termsR2,,,,,,1,,,,,,,
16,22320,8o0mJnIpFH,"Unit CTA1_08, Section CTA1_08-2",3-Feb,1,yMin,,,,,,0,,,,,,Changing axis bounds,98
17,22862,8o0mJnIpFH,"Unit ES_04, Section ES_04-15",LIT58,1,7+y*(b+n) = r+f,,,,,,0,,,,,,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",70
18,23277,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-5",DISTFB08_SP,1,R3C2,,,,,,0,,,,,,"Using simple numbers~~Write expression, positive slope~~Using large numbers",78~~45~~56
